SalePrice,SaleType_Con,Condition2_RRAn,Heating_Floor,Exterior2nd_Other,SaleCondition_Alloca,LotArea,Neighborhood_Veenker,OverallQual,Neighborhood_NoRidge,Neighborhood_NridgHt,Heating_Grav,SaleCondition_Partial,SaleType_New,ExterQual,GarageCars,Exterior2nd_CmentBd,KitchenQual,BsmtQual,Condition2_PosN,GrLivArea,Exterior1st_CemntBd,GarageArea,LandContour_HLS,Foundation_Stone,GarageFinish,FullBath,MasVnrArea,Neighborhood_Somerst,YearBuilt,Neighborhood_StoneBr
208500.0,0,0,0,0,0,8450,0,7,0,0,0,0,0,4.0,2.0,0,4.0,4.0,0,1710,0,548.0,0,0,2.0,2,196.0,0,2003,0
181500.0,0,0,0,0,0,9600,1,6,0,0,0,0,0,3.0,2.0,0,3.0,4.0,0,1262,0,460.0,0,0,2.0,2,0.0,0,1976,0
223500.0,0,0,0,0,0,11250,0,7,0,0,0,0,0,4.0,2.0,0,4.0,4.0,0,1786,0,608.0,0,0,2.0,2,162.0,0,2001,0
140000.0,0,0,0,0,0,9550,0,7,0,0,0,0,0,3.0,3.0,0,4.0,3.0,0,1717,0,642.0,0,0,1.0,1,0.0,0,1915,0
250000.0,0,0,0,0,0,14260,0,8,1,0,0,0,0,4.0,3.0,0,4.0,4.0,0,2198,0,836.0,0,0,2.0,2,350.0,0,2000,0
143000.0,0,0,0,0,0,14115,0,5,0,0,0,0,0,3.0,2.0,0,3.0,4.0,0,1362,0,480.0,0,0,1.0,1,0.0,0,1993,0
307000.0,0,0,0,0,0,10084,0,8,0,0,0,0,0,4.0,2.0,0,4.0,5.0,0,1694,0,636.0,0,0,2.0,2,186.0,1,2004,0
200000.0,0,0,0,0,0,10382,0,7,0,0,0,0,0,3.0,2.0,0,3.0,4.0,0,2090,0,484.0,0,0,2.0,2,240.0,0,1973,0
129900.0,0,0,0,0,0,6120,0,7,0,0,0,0,0,3.0,2.0,0,3.0,3.0,0,1774,0,468.0,0,0,1.0,2,0.0,0,1931,0
118000.0,0,0,0,0,0,7420,0,5,0,0,0,0,0,3.0,1.0,0,3.0,3.0,0,1077,0,205.0,0,0,2.0,1,0.0,0,1939,0
129500.0,0,0,0,0,0,11200,0,5,0,0,0,0,0,3.0,1.0,0,3.0,3.0,0,1040,0,384.0,0,0,1.0,1,0.0,0,1965,0
345000.0,0,0,0,0,0,11924,0,9,0,1,0,1,1,5.0,3.0,0,5.0,5.0,0,2324,0,736.0,0,0,3.0,3,286.0,0,2005,0
144000.0,0,0,0,0,0,12968,0,5,0,0,0,0,0,3.0,1.0,0,3.0,3.0,0,912,0,352.0,0,0,1.0,1,0.0,0,1962,0
