SalePrice,Id,YrSold,MoSold,GarageFinish_RFn,LotShape_IR1,LotShape_Reg,GarageFinish_Fin,BsmtExposure_Av,BsmtFinType1_GLQ,BsmtFullBath,BsmtFinType1_Unf,Neighborhood_CollgCr,BsmtExposure_No,MasVnrType_BrkFace,WoodDeckSF,HalfBath,FireplaceQu_Gd,LotConfig_Inside,LotConfig_Corner,FireplaceQu_None,FireplaceQu_TA,MasVnrType_None,BsmtUnfSF,RoofStyle_Hip,KitchenQual_Gd,OpenPorchSF,RoofStyle_Gable,MasVnrArea,BsmtFinSF1,Fireplaces
208500.0,1,2008,2,1,0,1,0,0,1,1.0,0,1,1,1,0,1,0,1,0,1,0,0,150.0,0,1,61,1,196.0,706.0,0
181500.0,2,2007,5,1,0,1,0,0,0,0.0,0,0,0,0,298,0,0,0,0,0,1,1,284.0,0,0,0,1,0.0,978.0,1
223500.0,3,2008,9,1,1,0,0,0,1,1.0,0,1,0,1,0,1,0,1,0,0,1,0,434.0,0,1,42,1,162.0,486.0,1
140000.0,4,2006,2,0,1,0,0,0,0,1.0,0,0,1,0,0,0,1,0,1,0,0,1,540.0,0,1,35,1,0.0,216.0,1
250000.0,5,2008,12,1,1,0,0,1,1,1.0,0,0,0,1,192,1,0,0,0,0,1,0,490.0,0,1,84,1,350.0,655.0,1
143000.0,6,2009,10,0,1,0,0,0,1,1.0,0,0,1,0,40,1,0,1,0,1,0,1,64.0,0,0,30,1,0.0,732.0,0
307000.0,7,2007,8,1,0,1,0,1,1,1.0,0,0,0,0,255,0,1,1,0,0,0,0,317.0,0,1,57,1,186.0,1369.0,1
200000.0,8,2009,11,1,1,0,0,0,0,1.0,0,0,0,0,235,1,0,0,1,0,1,0,216.0,0,0,204,1,240.0,859.0,2
129900.0,9,2008,4,0,0,1,0,0,0,0.0,1,0,1,0,90,0,0,1,0,0,1,1,952.0,0,0,0,1,0.0,0.0,2
118000.0,10,2008,1,1,0,1,0,0,1,1.0,0,0,1,0,0,0,0,0,1,0,1,1,140.0,0,0,4,1,0.0,851.0,2
129500.0,11,2008,2,0,0,1,0,0,0,1.0,0,0,1,0,0,0,0,1,0,1,0,1,134.0,1,0,0,0,0.0,906.0,0
345000.0,12,2006,7,0,1,0,1,0,1,1.0,0,0,1,0,147,0,1,1,0,0,0,0,177.0,1,0,21,0,286.0,998.0,2
144000.0,13,2008,9,0,0,0,0,0,0,1.0,0,0,1,0,140,0,0,1,0,1,0,1,175.0,1,0,0,0,0.0,737.0,0
279500.0,14,2007,8,1,1,0,0,1,0,0.0,1,1,0,0,160,0,1,1,0,0,0,0,1494.0,0,1,33,1,306.0,0.0,1
157000.0,15,2008,5,1,1,0,0,0,0,1.0,0,0,1,1,0,1,0,0,1,0,0,0,520.0,1,0,213,0,212.0,733.0,1
132000.0,16,2007,7,0,0,1,0,0,0,0.0,1,0,1,0,48,0,0,0,1,1,0,1,832.0,0,0,112,1,0.0,0.0,0
149000.0,17,2010,3,0,1,0,1,0,0,1.0,0,0,1,1,0,0,0,0,0,0,1,0,426.0,0,0,0,1,180.0,578.0,1
90000.0,18,2006,10,0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,1,0,1,0,1,0.0,0,0,0,1,0.0,0.0,0
159000.0,19,2008,6,0,0,1,0,0,1,1.0,0,0,1,0,0,1,0,1,0,1,0,1,468.0,0,1,102,1,0.0,646.0,0
139000.0,20,2009,5,0,0,1,0,0,0,0.0,0,0,1,0,0,0,0,1,0,1,0,1,525.0,1,0,0,0,0.0,504.0,0
325300.0,21,2006,11,1,1,0,0,1,0,0.0,1,0,0,1,240,1,1,0,1,0,0,0,1158.0,0,1,154,1,380.0,0.0,1
139400.0,22,2007,6,0,0,1,0,0,0,0.0,1,0,1,0,0,0,1,1,0,0,0,1,637.0,0,1,0,1,0.0,0.0,1
230000.0,23,2008,9,1,0,1,0,0,0,0.0,1,1,1,1,171,0,1,1,0,0,0,0,1777.0,1,1,159,0,281.0,0.0,1
129900.0,24,2007,6,0,0,1,0,0,1,1.0,0,0,1,0,100,0,0,1,0,0,1,1,200.0,0,0,110,1,0.0,840.0,1
154000.0,25,2010,5,0,1,0,0,0,0,1.0,0,0,0,0,406,0,0,1,0,0,1,1,204.0,0,1,90,1,0.0,188.0,1
256300.0,26,2009,7,1,0,1,0,0,0,0.0,1,0,1,0,0,0,1,0,1,0,0,0,1566.0,0,1,56,1,640.0,0.0,1
134800.0,27,2010,5,0,0,1,0,0,0,0.0,0,0,0,0,222,0,0,0,1,1,0,1,180.0,0,1,32,1,0.0,234.0,0
306000.0,28,2010,5,1,0,1,0,0,1,1.0,0,0,1,0,0,0,1,1,0,0,0,0,486.0,0,1,50,1,200.0,1218.0,1
207500.0,29,2006,12,1,1,0,0,0,0,1.0,0,0,0,0,288,0,1,0,0,0,0,1,207.0,0,0,258,1,0.0,1277.0,2
68500.0,30,2008,5,0,1,0,0,0,0,0.0,1,0,1,0,49,0,0,1,0,1,0,1,520.0,0,0,0,1,0.0,0.0,0
40000.0,31,2008,7,0,0,1,0,0,0,0.0,1,0,1,0,0,0,0,1,0,1,0,1,649.0,0,0,54,0,0.0,0.0,0
149350.0,32,2008,6,0,1,0,0,0,0,0.0,1,0,1,0,0,1,0,0,0,1,0,1,1228.0,0,1,65,1,0.0,0.0,0
179900.0,33,2008,1,1,0,1,0,1,0,0.0,1,1,0,0,0,0,0,0,1,1,0,1,1234.0,0,1,30,1,0.0,0.0,0
165500.0,34,2010,4,1,1,0,0,0,0,0.0,0,0,1,0,0,1,1,1,0,0,0,1,380.0,1,1,38,0,0.0,1018.0,1
277500.0,35,2007,8,0,0,1,1,0,1,1.0,0,0,1,1,203,0,1,1,0,0,0,0,408.0,1,0,47,0,246.0,1153.0,1
309000.0,36,2006,9,0,0,1,1,1,0,0.0,1,0,0,0,113,1,1,1,0,0,0,0,1117.0,0,1,32,1,132.0,0.0,1
145000.0,37,2009,6,0,0,1,0,0,0,0.0,1,1,1,0,392,1,0,0,1,1,0,1,1097.0,0,0,64,1,0.0,0.0,0
153000.0,38,2009,10,0,0,1,1,0,0,0.0,0,0,1,1,0,0,0,1,0,0,1,0,84.0,1,0,0,0,650.0,1213.0,1
109000.0,39,2010,1,0,0,1,0,0,1,1.0,0,0,1,0,0,0,0,1,0,1,0,1,326.0,0,1,52,1,0.0,731.0,0
